16,24,21,12,13
8,7,15,6,16,9
16,17,7,8,6,9
17,21,12,13,23
17,13,6,7,8
9,15,8,6,7,16
17,8,16,7,9,24
5,6,7,15,12,13
10,9,7,6,13
8,7,15,6,9
25,17,16,24,13
9,15,16,17,24
17,13,23,21,22
10,9,8,7,16,6,24
9,16,8,17,7,6,13
8,17,7,16,6
17,16,8,6,7
7,8,9,6,15,13
8,9,7,16,15,14
18,17,25,24,13
10,9,8,17,16
17,16,24,13,23
17,16,15,7,6
24,15,16,7,6,8,9
9,8,17,16,18
18,16,7,8,17,9
17,16,7,8,6,9
15,16,6,7,8
18,19,20,17,16
8,7,6,16,15,14
7,8,18,17,16,9
18,17,16,7,6,15,12,24
9,8,7,16,15,24
9,6,7,16,10
6,14,15,7,16,8,9,13,24
9,19,18,16,17,20
8,16,7,15,6,13
9,8,6,7,16,15,24
12,6,7,8,16,9
17,7,8,6,16
8,7,9,16,17
18,16,17,15,14
9,8,17,16,15,24,6,7
8,7,15,6,5
6,8,7,9,17,15,16
9,8,6,7,16
18,17,25,16,24,13
7,6,8,16,9
8,16,7,6,14,24,9
9,25,8,7,16,24,13
9,15,14,13,12
24,13,23,22,12,21
12,21,22,13,23
13,12,23,22,21
9,14,13,24,23
13,21,22,23,12
13,22,23,21,12
12,13,22,23,21
13,21,22,23,12
8,7,17,15,16
10,9,8,7,15
14,12,13,23,21,22
9,7,8,16,17
13,21,22,12,23
20,18,19,17,16,25
21,13,22,23,12
13,21,22,12,23
8,9,7,6,17,16,10
23,12,13,22,21
7,8,9,12,13,22,23,21
13,22,23,21,12
17,7,8,16,15,14,6
21,22,23,12,13
18,17,16,19,20
13,21,12,23,22
6,9,7,8,15,14,16
13,12,23,22,21
23,12,13,22,21
6,7,8,5,17,18,9
8,17,7,16,9
12,13,23,21,22
20,18,19,17,16,15,7
16,7,15,9,20
13,22,23,21,12
15,16,8,9,13
15,14,16,18,17,24,25
8,9,17,16,6,10
8,9,17,16,10
13,12,22,23,21
16,17,7,8,9
12,13,23,22,21
14,12,13,23,22
13,24,23,21,22,12
13,12,22,21,23
12,13,21,22,23
24,23,12,22,13,21
16,24,23,12,13
15,14,16,17,13,24
24,13,12,23,22,21
24,12,13,22,23,21
8,9,7,6,16,17,15,25
8,18,7,16,15
22,23,12,13,21
12,13,22,21,23
23,13,12,22,21
13,23,21,22,12
10,8,9,7,16,25
12,13,23,25,24,17
10,21,22,23,9
13,12,23,22,21
13,12,23,22,21
10,9,6,7,8,15,16
21,22,13,23,12
13,12,23,22,21
12,13,22,23,21
9,8,6,7,16,15,17
13,22,23,21,12
17,18,16,19,20
13,23,12,22,21
9,17,8,7,16
9,8,7,14,16,6,15,17,25,5,24,13,10
21,13,23,22,12
16,17,8,9,15
9,10,24,13,23,12
22,21,23,13,12
13,12,23,22,21
10,9,8,7,6,16
12,13,21,22,23
10,8,7,17,18,16
8,17,7,16,6
74,75,76,67,32,33
14,24,13,12,23,22,21
13,23,22,21,26
9,8,7,6,16
13,23,12,22,21
12,13,23,22,21
8,15,25,14,24
12,13,23,22,21
13,22,12,23,21
21,22,13,23,12
9,8,7,16,17
12,21,13,22,23
12,13,23,22,21
16,17,18,19,20
21,12,13,22,23
12,24,23,22,13
12,23,13,22,21
24,23,13,12,22,21
24,13,21,22,23,12
6,14,24,25,23,13,12,10,22,21
13,12,23,22,21
13,23,22,21,12
17,14,24,7,16,15
8,9,13,12,23,22,21
14,17,15,6,5
13,12,23,22,21
13,12,23,22,21
14,13,24,12,23,22,21
21,13,22,12,23
12,13,23,22,21
14,24,13,12,23,22,21
13,12,23,22,21
13,23,9,8,17,12
21,22,13,23,12
21,13,12,23,22
7,8,9,6,23,13,22,21
7,8,16,17,6
8,17,7,15,16,6,14,24,13
10,9,13,12,23,22,21
13,12,23,22,21
5,6,25,24,23,12,13,22,21
16,7,8,10,9
13,22,12,23,21
16,17,8,6,7,13,9,10
16,17,7,6,15
75,76,48,73,74
13,21,22,12,23
10,16,7,15,8,9
13,22,12,23,21
9,8,16,7,6,15,13
21,13,12,23,22
10,9,8,7,15,5,6
17,13,23,22,21
8,7,6,16,17
21,13,22,23,12
12,13,24,23,22,21
15,16,6,14,25,24
9,13,12,23,22
18,17,19,20,16
17,9,8,16,7,15,6
60,61,30,63,62,70
10,9,8,16,14
21,13,22,12,23
12,13,22,23,21
10,8,9,14,17,16,24
12,13,21,23,22
21,13,12,22,23
9,10,6,7,8,5,16
24,12,13,21,22,23
