73,72,71,0,1
72,71,69,0,1
71,69,70,0,1
53,52,111,0,1
52,111,112,0,1
111,112,113,0,1
32,29,30,0,1
29,30,31,0,1
30,31,41,0,1
98,100,108,0,1
100,108,99,0,1
108,99,101,0,1
99,101,102,0,1
44,1,2,0,1
1,2,10,0,1
2,10,9,0,1
63,64,65,0,1
64,65,66,0,1
65,66,70,0,1
30,31,32,0,1
31,32,33,0,1
32,33,37,0,1
33,37,40,0,1
64,53,65,0,1
53,65,66,0,1
65,66,63,0,1
41,42,64,0,1
42,64,65,0,1
64,65,63,0,1
74,64,63,0,1
64,63,65,0,1
63,65,66,0,1
99,88,89,0,1
88,89,97,0,1
89,97,87,0,1
106,55,54,0,1
55,54,59,0,1
54,59,63,0,1
2,41,42,0,1
41,42,6,0,1
42,6,8,0,1
6,8,1,0,1
10,9,8,0,1
9,8,7,0,1
8,7,5,0,1
7,5,6,0,1
5,6,1,0,1
6,1,2,0,1
85,84,86,0,1
84,86,83,0,1
86,83,39,0,1
13,9,10,0,1
9,10,17,0,1
10,17,8,0,1
90,91,92,0,1
91,92,78,0,1
92,78,89,0,1
58,59,74,0,1
59,74,57,0,1
74,57,67,0,1
57,67,68,0,1
93,65,91,0,1
65,91,47,0,1
91,47,92,0,1
113,112,78,0,1
112,78,80,0,1
78,80,79,0,1
93,97,96,0,1
97,96,94,0,1
96,94,95,0,1
53,72,54,0,1
72,54,107,0,1
54,107,76,0,1
107,76,64,0,1
103,57,106,0,1
57,106,104,0,1
106,104,105,0,1
104,105,107,0,1
105,107,108,0,1
107,108,3,0,1
66,54,55,0,1
54,55,65,0,1
55,65,64,0,1
26,27,28,0,1
27,28,76,0,1
28,76,36,0,1
76,36,75,0,1
54,57,55,0,1
57,55,53,0,1
55,53,56,0,1
